"DNA Polymerase","Substitution rate","SD"
"Q5",1.89532657766318e-07,3.24446128283585e-08
"Phusion",1.27895440992878e-06,2.18424443140115e-07
"Deep Vent",1.28534733391887e-06,6.15295628533674e-07
"Pfu",1.38261103035212e-06,2.58731060698629e-07
"PrimeSTAR GXL",2.95847580278203e-06,4.36588542226769e-07
"KOD",4.47637039308286e-06,8.2539874512149e-07
"Kapa HiFi",6.04674696269477e-06,8.16399064577008e-07
"Taq",5.68812051600816e-05,6.47215630668053e-06
"Deep Vent (exo-)",0.000146432293455894,6.69061585242683e-06
